Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,activation_7,ams_grad,batch_size,bn_1,bn_2,bn_3,bn_4,bn_5,bn_6,bn_7,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,14,relu,elu,,,,,,1,32,1,1.0,,,,,,0.28243019481288645,1e-08,0.005736143416895124,0.005866006936915539,0.02219129995198068,3,32,36.47009259410678
2,COMPLETED,68,relu,,,,,,,1,512,1,,,,,,,0.44725207596390576,0.1,0.008098639771964868,0.009192976716262336,0.0018341017061896227,2,256,20.814414391105245
3,COMPLETED,18,relu,<function lrelu at 0x2afc1de91560>,relu,,,,,0,128,0,0.0,0.0,,,,,0.14967063826437416,1e-07,0.009463828057071803,0.0026412470515517783,0.005794952418157983,4,64,23.591142635807195
4,COMPLETED,74,elu,,,,,,,1,128,0,,,,,,,0.3452135549258368,1.0,0.005983895513522253,0.005899725005863098,9.322981598507627e-05,2,32,37.29878002465366
5,COMPLETED,54,elu,elu,,,,,,1,128,0,1.0,,,,,,0.3002595368124947,1e-07,0.005098977357405999,0.002277608995013348,0.00022744585635137932,3,64,25.530519908446376
6,COMPLETED,34,<function leaky_relu at 0x2af81959a7a0>,,,,,,,1,512,0,,,,,,,0.19960734806668734,1e-07,0.006039074568744155,0.006325908751041755,0.02720701413870714,2,16,35.34685404473545
7,COMPLETED,17,<function leaky_relu at 0x2af81959a7a0>,tanh,<function leaky_relu at 0x2af81959a7a0>,,,,,0,32,1,1.0,1.0,,,,,0.2736646412171294,0.1,0.004573126852059991,0.005807730109324995,0.0006642199845265103,4,256,24.10202230973435
8,COMPLETED,41,tanh,,,,,,,0,128,0,,,,,,,0.06544242914238535,1e-08,5.786938431756594e-06,0.002100371065255232,0.0049173125262921375,2,512,25.979177518304212
9,COMPLETED,74,elu,<function lrelu at 0x2afc1de91560>,,,,,,1,128,1,1.0,,,,,,0.4961887341747444,0.1,0.005239827684147915,0.0017437755835041514,7.324570478605757e-05,3,16,23.507127555096297
10,COMPLETED,74,elu,<function lrelu at 0x2afc1de91560>,,,,,,0,512,0,1.0,,,,,,0.468768738103617,1e-08,0.0053231833909587216,0.004222349465027362,0.0003755826987892883,3,64,20.5273982943977
11,COMPLETED,12,<function leaky_relu at 0x2af81959a7a0>,,,,,,,1,64,1,,,,,,,0.089663961295743,1e-07,0.005057631743724385,0.005030042185314893,0.0335693741524679,2,64,38.01848111780499
12,COMPLETED,20,tanh,elu,,,,,,1,32,0,0.0,,,,,,0.04801501341486175,1e-07,0.0014104718204070454,0.0029056867557479336,0.013438412378885664,3,256,23.968857212579955
13,COMPLETED,10,<function lrelu at 0x2afc1de91560>,elu,<function leaky_relu at 0x2af81959a7a0>,,,,,0,32,1,0.0,0.0,,,,,0.41135388051025923,1.0,0.00280215698828161,0.0050303471872246855,0.009399703720768532,4,16,29.897968056744357
14,COMPLETED,9,elu,relu,relu,,,,,0,256,1,1.0,0.0,,,,,0.1168932088233407,0.1,0.002339707170532408,0.008121270765838214,0.07777223422817618,4,128,33.682780953464814
15,COMPLETED,16,elu,relu,,,,,,1,64,0,1.0,,,,,,0.18626516389658637,1e-07,0.0054105563773708485,0.0020399590694553916,0.0029182881502576316,3,512,25.424534645203263
16,COMPLETED,8,elu,,,,,,,1,64,1,,,,,,,0.16599976521761972,1e-07,0.007084316037515291,0.0010458910503071616,0.04802748189882548,2,16,33.9935626577622
17,COMPLETED,16,<function lrelu at 0x2afc1de91560>,<function lrelu at 0x2afc1de91560>,<function leaky_relu at 0x2af81959a7a0>,,,,,1,32,0,0.0,1.0,,,,,0.110809539853578,1.0,0.006480387480232143,0.004493466067091697,0.07896514974239396,4,32,36.00726577089359
18,COMPLETED,40,relu,elu,tanh,,,,,1,512,1,1.0,1.0,,,,,0.2560045781272533,1e-07,0.007792918105852276,0.005235786202035721,0.00037711846902452377,4,32,19.90255356777403
