Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,bn_1,bn_2,bn_3,bn_4,dropout,epsilon,l1_reg,l2_reg,last_activation,lrinit,model_depth,num_units,optimizer,Objective
1,COMPLETED,2,<function leaky_relu at 0x2b23bfb3cef0>,<function leaky_relu at 0x2b23bfb3cef0>,,,1,1,1,0,0.16919916322900436,1.0,0.0019355820945652891,4.659792376512595e-05,linear,0.004944116745404393,3,32,nadam,40.129268646240234
2,COMPLETED,2,elu,,,,1,1,0,0,0.0991196229818272,0.1,0.0028577110423996265,0.006429259735243584,linear,0.01594342197507988,2,256,nadam,76.69498443603516
3,COMPLETED,2,<function leaky_relu at 0x2b23bfb3cef0>,,,,0,0,1,0,0.14784043312812278,1e-07,0.0004467983404219678,0.004536034406003852,linear,0.0315692529310497,2,32,RMSprop,74.87251281738281
4,COMPLETED,2,tanh,,,,0,0,1,1,0.2624095210693395,1e-08,0.003576836726570197,0.00014223024860491318,linear,0.0046614187131488434,2,16,adadelta,424.22015380859375
5,COMPLETED,2,<function leaky_relu at 0x2b23bfb3cef0>,,,,1,0,0,1,0.13814939428282041,1.0,0.007493926036271128,0.0006559284465561111,<function my_act_fct at 0x2b237724cef0>,0.007712596882544636,2,32,adadelta,42.88249206542969
6,COMPLETED,2,<function leaky_relu at 0x2b23bfb3cef0>,<function lrelu at 0x2b23c8919b00>,,,1,0,1,0,0.42633764590438356,1e-07,0.005162313330465818,0.007418843557970109,<function my_act_fct at 0x2b237724cef0>,0.02045009539471641,3,32,adadelta,95.68323516845703
7,COMPLETED,2,<function lrelu at 0x2b23c8919b00>,<function leaky_relu at 0x2b23bfb3cef0>,,,1,1,1,1,0.48501239026676674,1.0,0.0037944715433429824,0.005080540561638065,linear,0.04508714104611814,3,256,RMSprop,76.8198013305664
8,COMPLETED,2,tanh,elu,,,0,1,1,0,0.28865090180651043,1.0,0.0029655583604362955,0.006914675874208677,linear,0.0004901470311013556,3,16,nadam,81.72747802734375
9,COMPLETED,2,elu,<function lrelu at 0x2b23c8919b00>,,,1,0,0,0,0.42675483016314286,1.0,0.0019539979776791692,0.007563440132888383,<function my_act_fct at 0x2b237724cef0>,0.00014844405368605472,3,16,RMSprop,95.11534881591797
10,COMPLETED,2,<function lrelu at 0x2b23c8919b00>,tanh,,,1,1,0,0,0.22918398489015718,1e-07,0.006480914481039184,0.002400705124045783,<function my_act_fct at 0x2b237724cef0>,0.004242300283755903,3,64,RMSprop,66.3744888305664
