Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,activation_last,bn_1,bn_2,bn_3,bn_4,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,optimizer,Objective
1,COMPLETED,2,<function leaky_relu at 0x2b2544155f80>,elu,relu,,<function my_act_fct at 0x2b250f6bd7a0>,1,1,0,0,0.0,1.0,0.002476,0.001802,0.000332,4,256,adam,42.50212097167969
2,COMPLETED,2,<function leaky_relu at 0x2b2544155f80>,,,,<function my_act_fct at 0x2b250f6bd7a0>,0,1,0,1,0.4309491607787424,1e-07,0.009650661811604459,0.001708465122713546,0.00021295115183924402,2,32,adam,77.30741119384766
3,COMPLETED,2,elu,<function leaky_relu at 0x2b2544155f80>,relu,,<function my_act_fct at 0x2b250f6bd7a0>,1,0,1,1,0.2648323624307774,1e-07,0.007076927771509035,0.007321011379639055,0.016060315028707167,4,128,adam,42.34413528442383
4,COMPLETED,2,elu,relu,<function leaky_relu at 0x2b2544155f80>,,<function my_act_fct at 0x2b250f6bd7a0>,0,1,1,1,0.23436907490743675,1.0,0.006354458912689225,0.006801643717224499,0.030553923795503653,4,256,adam,42.86322021484375
5,COMPLETED,2,<function lrelu at 0x2b254b6c4320>,relu,<function leaky_relu at 0x2b2544155f80>,,<function my_act_fct at 0x2b250f6bd7a0>,1,1,1,0,0.4792112077147503,1.0,0.0013741022658199087,0.008768857552390076,0.0011701657662356627,4,64,adam,31.70428466796875
6,COMPLETED,2,elu,relu,,,linear,0,0,0,0,0.010504551329794332,1.0,0.006163299203250009,0.007421264791775404,0.014679676785000654,3,512,adam,36.96563720703125
7,COMPLETED,2,tanh,elu,,,linear,0,0,0,0,0.10299841469631565,1e-07,0.005343515369299614,0.006833856704962245,0.0022813414025833214,3,512,adam,40.19530487060547
8,COMPLETED,2,<function lrelu at 0x2b254b6c4320>,<function leaky_relu at 0x2b2544155f80>,<function lrelu at 0x2b254b6c4320>,,<function my_act_fct at 0x2b250f6bd7a0>,1,0,1,0,0.23059224428297526,1e-08,0.0034251302139434547,0.00028971596176364026,0.0014703962902888597,4,256,adam,27.08489418029785
9,COMPLETED,2,<function lrelu at 0x2b254b6c4320>,<function leaky_relu at 0x2b2544155f80>,,,linear,0,1,0,1,0.19926781017798206,0.1,0.0030032946847518695,0.008437237365943201,0.015805735559488013,3,128,adam,41.36331558227539
10,COMPLETED,2,<function leaky_relu at 0x2b2544155f80>,elu,,,linear,1,1,0,1,0.3039532862349468,0.1,0.005258117296245636,0.008541946626849347,0.0003509575542154274,3,64,adam,41.9116325378418
11,COMPLETED,2,tanh,relu,<function leaky_relu at 0x2b2544155f80>,,linear,1,1,1,1,0.36589253813412753,0.1,0.009917662162930252,0.008722016878767615,0.0020918006615303964,4,128,adam,36.255985260009766
12,COMPLETED,2,<function leaky_relu at 0x2b2544155f80>,relu,relu,,<function my_act_fct at 0x2b250f6bd7a0>,1,1,1,1,0.1555190514840456,1e-07,0.0062661089582749996,0.003450126964826875,0.012136878499512924,4,16,adam,44.14548873901367
13,COMPLETED,2,<function leaky_relu at 0x2b2544155f80>,<function lrelu at 0x2b254b6c4320>,elu,,linear,1,0,0,1,0.4965280126864561,1e-07,0.009403219905322753,0.00555946891056115,0.007402349320670594,4,256,adam,48.56721115112305
14,COMPLETED,2,elu,,,,linear,0,0,1,0,0.48797153189388,1.0,0.006052695649671591,0.0015719290884187033,0.004069041322438845,2,16,adam,49.84437561035156
15,COMPLETED,2,<function lrelu at 0x2b254b6c4320>,,,,<function my_act_fct at 0x2b250f6bd7a0>,0,1,0,0,0.05302490528248943,1e-08,0.0029403154043717095,0.0031052551638106585,0.0003021266619703314,2,64,adam,50.72272491455078
16,COMPLETED,2,<function lrelu at 0x2b254b6c4320>,<function leaky_relu at 0x2b2544155f80>,,,linear,1,0,0,1,0.31056841296065496,1e-07,0.008716283329407623,0.001133147095121395,0.0029940757433185457,3,256,adam,34.74209213256836
17,COMPLETED,2,<function lrelu at 0x2b254b6c4320>,elu,<function leaky_relu at 0x2b2544155f80>,,linear,1,0,1,0,0.292547876027264,1.0,0.008580993840278661,0.007158049176263026,0.0006503361229564501,4,512,adam,33.732505798339844
18,COMPLETED,2,tanh,<function leaky_relu at 0x2b2544155f80>,,,<function my_act_fct at 0x2b250f6bd7a0>,1,1,0,1,0.048012214226970384,1e-07,0.005773005378722213,0.009271591667913972,0.0012852115704265188,3,32,adam,30.784210205078125
